date;latinName;englishName;class;color
01-01;Die Octavae Nativitatis Domini;The Octave of Christmas;II. classis;white
01-02;Die Secunda Januarii;Feria of Christmastide;IV. classis;white
01-03;Die Tertia Januarii;Feria of Christmastide;IV. classis;white
01-04;Die Quarta Januarii;Feria of Christmastide;IV. classis;white
01-04;(USA)Elisabeth Annae Seton, Viduae;(USA) St. Elisabeth Ann Seton, Widow;IV. classis;white
01-05;Die Quinta Januarii;Feria of Christmastide;IV. classis;white
01-05;S. Telespohori Papae et Martyris;Feria of ChristmastideSt. Telesphorus Pope & Martyr;IV. classis;red
01-05;(USA)S. Joannis Neumann, Episcopi et Confessoris;(USA) St. John Neumann, Bishop & Confessor;III. classis;white
01-06;In Epiphania Domini;The Epiphany of the Lord;I. classis;white
01-07;Die Septima Januarii;Feria of Epiphany;IV. classis;white
01-08;Die Octava Januarii;Feria of Epiphany;IV. classis;white
01-09;Die Nona Januarii;Feria of Epiphany;IV. classis;white
01-10;Die Decima Januarii;Feria of Epiphany;IV. classis;white
01-11;Die Undecima Januarii;Feria of Epiphany;IV. classis;white
01-11;S. Hygini Papae et Martyris;St. Hyginus, Pope & Martyr;IV. classis;red
01-12;Die Duodecima Januarii;Feria of Epiphany;IV. classis;white
01-13;Commemoratio Baptismatis Domini Nostri Jesu Christi;Commemoration of the Baptism of our Lord Jesus Christ;II. classis;white
01-14;S. Hilarii Episcopi Confessoris Ecclesiae Doctoris;St. Hilary, Bishop Confessor & Doctor of the Church;III. classis;white
01-14;S. Felicis Presbyteri et Martyris;St. Felix, Priest and Martyr;IV. classis;red
01-15;S. Pauli Primi Eremitae et Confessoris;St. Paul the first Hermit & Confessor;III. classis;white
01-15;S. Mauri Abbatis;St. Maurus, Abbot;IV. classis;white
01-16;S. Marcelli Papae et Martyris;St. Marcellus I, Pope & Martyr;III. classis;red
01-17;S. Antonii Abbatis;St. Anthony, Abbot;III. classis;white
01-18;S. Priscae Virginis et Martyris;St. Prisca, Virgin & Martyr;IV. classis;red
01-19;Ss. Marii, Marthae, Audifacis, et Abachum Martyrum;Ss. Marius, Martha, Audifax and Abachum, Martyrs;IV. classis;red
01-19;S. Canutis Regis et Martyris;St. Canute, King & Martyr;IV. classis;red
01-20;Ss. Fabiani et Sebastiani Martyrum;Ss. Fabian, Pope and Sebastian, Martyrs;III. classis;red
01-21;S. Agnetis Virginis et Martyris;St. Agnes, Virgin & Martyr;III. classis;red
01-22;Ss. Vincentii et Anastasii Martyrum;Ss. Vincent and Anastasius, Martyrs;III. classis;red
01-23;S. Raymundi de Peaeafort Confessoris;St. Raymund de Peaeafort, Confessor;III. classis;white
